start_time,end_time,duration,x,y,avg_pupil_size,pupil_size_norm,weight_meme,weight_ort,weight_person,weight_politik,weight_text
0.0,166.594,166.594,386.9574040174484,341.1292354265849,3.624103892933239,1.4070419546023094,0.0,0.0,1.0,1.0,0.0
199.699,349.474,149.77499999999998,432.3651682246815,236.76715764132413,3.696195983886719,1.7519572871808722,,,,,
366.169,1031.882,665.7130000000001,459.0746482213338,213.5026636577788,3.4896856168421304,0.763935009174425,,,,,
1081.895,1697.335,615.44,587.1721817896916,245.63677738874387,3.470082533986945,0.6701465817181532,,,,,
1780.811,1980.666,199.855,463.8366801398141,678.291802746909,3.398989750788762,0.3300123085069631,,,,,
2013.703,2280.16,266.4569999999999,510.7795106040107,721.1021979649862,3.411763808306526,0.3911281429743012,,,,,
2330.076,2562.849,232.7730000000001,440.5427969992161,612.9712402820587,3.3151621500651043,-0.0710500604777407,,,,,
2595.885,2779.124,183.2389999999996,327.46893350894635,584.7755725567157,3.3517068227132163,0.1037932233511605,,,,,
2795.561,3294.759,499.1979999999999,282.42566362023354,566.6448190808296,3.326626193138861,-0.0162018215491278,,,,,
3328.195,3810.845,482.6499999999997,220.13742193098992,474.4393863985616,3.2831990559895834,-0.2239733711695083,,,,,
3827.449,4243.244,415.7949999999996,180.2208043910839,430.064978422942,3.223523360032302,-0.5094840595922496,,,,,
4293.164,4459.73,166.5659999999998,428.4658213456472,232.6451808214188,3.316863320090554,-0.0629110313922983,,,,,
4476.448,4859.073,382.625,458.6457576751709,203.13189220428467,3.120635668436686,-1.001736980760011,,,,,
4875.869,5058.84,182.9710000000005,455.3797758542575,263.3794005100544,2.9181931813557944,-1.970297010522424,,,,,
5091.909,5241.682,149.77300000000014,603.5333895683289,232.6218152046204,3.0034576416015626,-1.562360172044844,,,,,
