start_time,end_time,duration,x,y,avg_pupil_size,pupil_size_norm,weight_meme,weight_ort,weight_person,weight_politik,weight_text
32.682,182.442,149.76,430.8649409901012,241.27892580899325,4.702411651611328,0.5013987253521783,1.0,0.0,0.0,0.0,0.0
282.281,449.279,166.998,261.2497349580129,280.6125233570735,4.620436928488991,0.0872213260726857,,,,,
481.961,681.64,199.679,237.333448444094,282.4414159570421,4.447453425480769,-0.7867780564842927,,,,,
2428.835,2545.903,117.06799999999976,257.3067598872715,274.1533868842655,4.393860816955566,-1.0575547834327503,,,,,
2628.514,2762.232,133.71799999999985,245.70018589496613,259.81106877326965,4.415291680230035,-0.9492753177968964,,,,,
3726.76,3860.479,133.7189999999996,503.3898091316223,508.9375424385071,4.419834560818142,-0.92632240749049,,,,,
3910.399,4110.081,199.68200000000024,268.36001532418385,405.837573323931,4.533471327561599,-0.3521724900568493,,,,,
4143.361,4275.884,132.52300000000014,242.8691303730011,255.5897557735443,4.574571397569445,-0.1445143308380566,,,,,
4309.762,4725.167,415.4050000000007,245.31596545819883,256.8728941458243,4.644288283128005,0.2077303275966907,,,,,
5723.575,5840.654,117.07900000000063,236.71483198801675,456.3185294469197,5.005348205566406,2.031986073315021,,,,,
6639.381,6771.903,132.5219999999999,565.5157566070557,671.938784122467,4.877944946289063,1.3882809337627686,,,,,
