image_id,cluster,PC1,PC2,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight,labels_txt_normalized
044,0,-2.2168245654188365,-0.1949125810414929,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
045,2,-0.11141749587470315,1.413433883092783,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
046,0,-3.552018397130891,-1.1192090138215312,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
047,0,-1.4888157979649517,0.9806775146077636,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
048,2,-0.5567669165035558,1.3486246050021784,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
049,2,0.6610882275662558,0.37053778648420976,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
050,3,2.3939662990668378,-0.00016995034225783875,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
051,0,-2.8182253658641625,0.3130442643175368,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
052,2,-1.3510089335156616,0.4121159969853825,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
053,0,-2.5409300042274063,-0.1960623762987314,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
054,0,-2.5235742539127743,-0.2406365042727608,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
055,2,1.2311957999497778,0.6480007628841965,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
056,2,0.34190713339969864,0.4385733458630415,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
057,2,-1.7546496151683009,0.10392144878462976,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
058,2,0.0007662412007451233,1.408702448075981,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
059,0,-2.9220409506145217,-0.8939417066000683,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
060,0,-3.971199004282465,-0.9485310619297292,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
061,0,-4.314539614337191,0.7775631875119852,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
062,2,0.5231533593982691,-0.8674438323089613,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
063,2,-1.6070670774842382,1.6306413605238141,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
064,0,-5.123926157004385,1.6261464842571332,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
065,0,-3.7518595440882887,0.6107819478102383,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
066,2,-0.5013575074582832,-1.3237061387769284,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
067,0,-3.0611169612543905,-0.2895791286045732,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
068,2,-0.4837887028894449,0.03403047484632038,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
069,2,-1.437468347515027,1.3365264154413377,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
070,0,-3.348269372404934,0.5854204297651862,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
071,0,-2.4814761453126706,0.28004994353311363,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
072,2,-1.7882649733462277,-0.2826722170731721,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
073,2,-1.3814696280007308,-0.07517903690875484,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
074,2,-1.8545381577955689,-0.6872146542644084,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
075,0,-2.774933769826777,1.6061283035577532,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
076,0,-2.440966670294118,-0.41846986154243754,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
077,0,-2.9097180967874667,-0.595776906697483,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
078,2,-0.43241848938314964,0.5319863319277973,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
079,2,-0.8113877354831772,-0.2356411827918182,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
080,0,-2.281871979566401,2.1759344897915507,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
081,2,-1.9228138615783694,-1.063530400749033,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
082,2,-0.93595020504978,-1.4203213817489695,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
083,0,-1.8415688721380772,2.0832719275433504,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
084,0,-4.527580549362528,-0.7906898838126464,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
085,2,-1.926343109756474,0.5249954533391792,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
086,0,-6.872447234254176,0.4039426627811656,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0,person
087,2,-1.731017730601709,-0.032510452455583254,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5,person text
088,3,5.11380156080264,2.926520857750311,person text politik,"person,politik,text",,0,1,1,0,1,0.0,1.0,1.0,0.0,1.0,person politik text
089,2,-0.518358810764469,1.2288841102787509,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
090,0,-3.7085493440916517,2.3937225456915217,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
091,2,-2.0219553214375416,1.2632410988317186,person politik,"person,politik",,0,1,1,0,0,0.0,1.0,1.0,0.0,0.0,person politik
092,2,0.9550618845290629,0.023514396511597348,person politik (text),"person,politik",text,0,1,1,0,1,0.0,1.0,1.0,0.0,0.5,person politik text
