cluster,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,fixations_mean_per_participant,fixations_first_third_per_participant,fixations_last_third_per_participant,view_time_mean_ms
0,291.2585106382979,236.94680851063828,277.3053191489362,329.2255319148936,2864.359574468085,4.11381914893617,3.7597553191489363,24.941597915762046,8.850629613547547,8.064915327833262,8908.889491967
1,209.20714285714286,192.92857142857142,206.85714285714286,220.21428571428572,4630.371428571429,5.242214285714286,3.572142857142857,45.78862973760933,15.613702623906704,14.873177842565598,12547.491253644315
2,236.28863636363636,204.02954545454546,219.02727272727273,264.4340909090909,3436.1363636363635,4.5965454545454545,3.571886363636364,31.78200371057514,11.52226345083488,9.975881261595548,9722.13961038961
