start_time,end_time,duration,x,y,avg_pupil_size,pupil_size_norm,weight_meme,weight_ort,weight_person,weight_politik,weight_text
0.0,199.661,199.661,301.3531131403787,350.2400704792568,3.9510621290940495,-0.4429762982502925,0.0,0.0,1.0,1.0,0.0
232.891,349.407,116.516,347.2219467163086,287.9922337002224,3.849454879760742,-1.1740562306436515,0.0,0.0,1.0,1.0,0.0
382.692,615.621,232.929,314.89338874816895,168.43365132808685,3.815081787109375,-1.421375968325737,0.0,0.0,1.0,1.0,0.0
665.541,848.659,183.11799999999997,500.4830617171068,146.07959527235764,3.8067588806152335,-1.4812605725934176,0.0,0.0,1.0,1.0,0.0
865.231,1031.673,166.442,529.368414481481,169.6466624736786,3.9015010486949575,-0.799575965550143,0.0,0.0,1.0,1.0,0.0
1098.24,1447.651,349.41100000000006,524.7262415678605,515.2875661849976,4.045692097056996,0.2379010115348983,0.0,0.0,1.0,1.0,0.0
1497.567,1813.699,316.13200000000006,311.2658018968543,520.6475202729101,4.059479304722378,0.3371021110040494,0.0,0.0,1.0,1.0,0.0
2013.375,2213.063,199.6880000000001,282.34409179006303,547.6020761898586,4.0563213641826925,0.3143802385844758,0.0,0.0,1.0,1.0,0.0
2279.583,2645.731,366.14800000000014,312.9326994220416,157.66386166214943,4.08739537778108,0.5379625903335884,0.0,0.0,1.0,1.0,0.0
2695.743,2928.568,232.82500000000027,507.0387095212936,146.39071933925152,3.871879577636719,-1.01270704823117,0.0,0.0,1.0,1.0,0.0
2995.143,3161.577,166.4340000000002,532.8824142615,461.65807247161865,3.9083772139115767,-0.7501008893653617,0.0,0.0,1.0,1.0,0.0
3194.806,3527.685,332.8789999999999,511.7977044799111,533.754289150238,4.076516287667411,0.4596858481031943,0.0,0.0,1.0,1.0,0.0
3560.928,4010.209,449.281,429.2152741859699,448.5130425157218,4.088318961007254,0.5446079150223434,0.0,0.0,1.0,1.0,0.0
4026.868,4176.671,149.80300000000034,403.7828878922896,398.7763318148527,4.073098754882812,0.4350961691825458,0.0,0.0,1.0,1.0,0.0
4209.892,4459.495,249.6030000000001,390.541416757247,549.6184391133926,4.107272148132324,0.680979038667086,0.0,0.0,1.0,1.0,0.0
4476.181,5441.317,965.1360000000004,370.3839993476868,549.920881986618,4.244983867063361,1.6718362346493807,0.0,0.0,1.0,1.0,0.0
5507.818,5774.058,266.2399999999998,374.8124566343096,351.41167640686035,4.27148302863626,1.8625018158781852,0.0,0.0,1.0,1.0,0.0
