image_id,primary_label,fixations_total,fixations_first_third,fixations_last_third,view_time_total_sum_ms,fixation_duration_mean_ms,fixation_duration_median_ms,fix_dur_mean_first_third_ms,fix_dur_mean_last_third_ms,scanpath_length_mean_px,fixation_density_entropy,pupil_mm_mean,pupil_mm_std,pupil_norm_mean,pupil_norm_std,pupil_norm_abs_mean,pupil_norm_rms,pupil_size_norm_n,avg_pupil_size_n
037,person,1328,482,431,467160.0,289.7,233.6,276.8,312.4,2360.3,4.229,3.47,0.177,0.0,1.0,0.759,0.975,27.081632653061224,27.102040816326532
038,person,1213,432,391,426992.0,290.8,233.6,265.0,341.5,2676.6,4.206,3.575,0.236,-0.0,1.0,0.797,0.972,25.270833333333332,25.270833333333332
039,person,1336,478,428,471326.0,279.5,232.9,265.3,308.7,3590.9,4.181,3.518,0.189,0.0,1.0,0.79,0.978,27.26530612244898,27.26530612244898
040,person,1216,456,375,416190.0,270.4,233.0,242.4,313.7,3364.8,4.232,3.82,0.192,0.0,1.0,0.805,0.975,25.872340425531913,25.872340425531913
041,person,1295,449,425,460387.0,289.4,233.6,292.3,312.1,2918.6,4.17,3.744,0.175,-0.0,1.0,0.792,0.973,26.428571428571427,26.428571428571427
042,person,989,379,292,384268.0,308.8,241.4,267.1,381.5,2735.9,3.872,4.035,0.182,0.0,1.0,0.782,0.972,21.04255319148936,21.04255319148936
043,person,1219,425,421,443921.0,285.5,224.7,271.1,284.4,3307.4,3.999,3.998,0.212,0.0,1.0,0.798,0.973,25.395833333333332,25.395833333333332
044,person,1221,448,376,436355.0,295.5,232.8,274.2,333.9,2805.9,4.089,3.734,0.173,-0.0,1.0,0.806,0.974,25.97872340425532,25.97872340425532
045,person,1324,483,410,456426.0,275.3,233.3,257.0,305.4,3665.6,4.13,3.656,0.18,0.0,1.0,0.789,0.978,28.170212765957448,28.170212765957448
046,person,1144,414,358,421199.0,315.8,249.6,297.6,360.3,2331.4,3.988,3.902,0.179,-0.0,1.0,0.781,0.975,23.8125,23.833333333333332
047,person,1298,451,421,461602.0,284.5,233.0,275.1,303.1,3107.0,4.272,4.089,0.226,0.0,1.0,0.785,0.979,27.041666666666668,27.041666666666668
048,person,1363,490,446,459782.0,267.4,232.2,252.9,278.9,2858.1,4.273,3.94,0.183,-0.0,1.0,0.804,0.977,27.816326530612244,27.816326530612244
049,person,1471,509,480,471945.0,256.3,216.5,243.8,271.7,3283.8,4.422,3.7,0.188,0.0,1.0,0.781,0.977,30.645833333333332,30.645833333333332
050,person,1621,559,541,526366.0,254.9,216.8,265.6,251.3,3669.1,4.605,3.427,0.163,0.0,1.0,0.76,0.979,33.08163265306123,33.08163265306123
051,person,1158,402,376,430063.0,302.8,249.6,294.4,344.2,2755.0,3.767,3.851,0.194,0.0,1.0,0.782,0.976,23.591836734693878,23.632653061224488
052,person,1221,426,393,413250.0,281.3,220.8,264.1,301.7,2832.5,4.053,3.759,0.154,0.0,1.0,0.804,0.978,25.416666666666668,25.4375
053,person,1237,422,396,428955.0,287.3,249.6,285.9,315.2,2643.0,4.055,3.852,0.174,0.0,1.0,0.792,0.971,25.770833333333332,25.770833333333332
054,person,1277,465,405,474633.0,303.5,249.6,270.4,352.5,2648.3,4.271,4.007,0.204,0.0,1.0,0.801,0.978,26.06122448979592,26.06122448979592
055,person,1496,518,479,490723.0,258.7,232.8,252.7,279.8,3336.1,4.48,3.554,0.15,0.0,1.0,0.786,0.981,30.510204081632654,30.53061224489796
056,person,1523,512,506,529266.0,285.8,245.5,304.0,296.1,3230.1,4.39,3.749,0.166,-0.0,1.0,0.79,0.981,31.708333333333332,31.729166666666668
057,person,1190,432,380,431253.0,274.5,232.5,254.6,337.7,3057.6,4.105,3.687,0.178,0.0,1.0,0.785,0.974,24.285714285714285,24.285714285714285
