image_id,number_of_fixations,view_time_total_sum,fixation_duration_mean_weighted,fixation_duration_median_approx,scanpath_length_mean,BCEA_68_mean,BCEA_95_mean,primary_label_top,pupil_size_norm_mean,pupil_size_norm_std,fix_dur_mean_first_third,fix_dur_mean_last_third,n_fix_first_third,n_fix_last_third
011,1335,423063.333,240.78386140416723,216.0909999999999,2640.653241253531,49474.518519587065,130196.10136733438,ort,2.1891164594814071e-16,1.0,211.5241112037889,263.3583784363512,500,426
012,2157,596537.193,217.27128752839386,199.79800000000017,4368.620764906081,78305.23179231497,206066.39945346044,ort,4.920719901575318e-17,1.0,217.58480321336026,224.8361185414174,730,703
013,1334,410592.421,229.32713502278392,207.7795000000001,2506.096953070871,63951.50982061782,168293.4468963627,ort,-5.499405284964204e-16,1.0,223.8928116449227,255.1484923209776,476,428
014,1279,428833.441,252.76992542069132,232.74000000000024,3018.6499015773315,76549.30713509263,201445.54509234903,ort,-6.872978610540389e-16,1.0,244.739580321232,270.5795348733973,453,407
015,1402,499967.889,299.3809259783942,249.60099999999989,2204.9153121297563,37036.71848786864,97465.0486522859,ort,-5.554450463372952e-16,1.0,307.46384177580825,281.93802968091285,472,473
016,1341,414617.011,229.38130561410657,199.67600000000016,2458.1237963535577,43103.40204748704,113430.0053881238,ort,6.388270259999316e-17,1.0,201.11775192850504,274.66216764392,510,397
017,1408,417330.767,220.0498972643603,199.674,3050.030325357331,55413.3516234657,145824.60953543606,ort,-2.449598013569341e-16,1.0,200.68839422131143,253.73696302751543,522,420
018,1194,440635.608,308.7526813154507,241.58299999999986,2864.230394464547,71781.278957599,188898.10251999742,ort,5.368749444531467e-17,1.0,264.0031880709789,391.6989051494372,436,365
019,1207,434756.41000000003,298.5264005524631,249.5892499999996,3018.1593835557574,88948.32835877448,234074.5483125644,ort,8.148723739758098e-17,1.0,261.6877060301845,370.7971067521112,449,375
020,1330,455951.646,285.3063520229628,241.33899999999977,2829.858502789591,66349.4803533129,174603.89566661292,ort,-2.6934276465596376e-16,1.0,256.2681207190889,343.61893956321455,486,432
021,1383,443915.956,255.77220870279436,216.67100000000005,3485.84222735702,83909.01625388245,220813.20066811176,ort,3.5946165317490435e-16,1.0,251.3291107618237,282.62999329171976,493,456
022,1233,432554.836,280.8813688720813,237.5872499999998,2700.182951643718,68905.48009708503,181330.21078180274,ort,-5.796013828498359e-18,1.0,258.2224863495118,328.45151668626517,445,392
