start_time,end_time,duration,x,y,avg_pupil_size,pupil_size_norm,weight_meme,weight_ort,weight_person,weight_politik,weight_text
149.766,265.73,115.96400000000004,445.9185759226481,410.8632604281108,3.8162145614624015,0.1477615729736943,0.0,1.0,0.0,0.0,1.0
315.651,499.202,183.551,308.8935306439033,230.31743856576773,3.8974781036376953,0.8753095103897666,,,,,
764.942,981.851,216.909,342.99869020779926,228.5546086231868,3.7618590763637,-0.3388800379162954,,,,,
1014.534,1297.935,283.40099999999995,451.02391556689616,209.35931393974707,3.725375281439887,-0.6655174085673752,,,,,
1347.855,1730.655,382.8,520.5389060974121,216.3123118877411,3.701215585072835,-0.8818178157355864,,,,,
1913.097,2130.016,216.9190000000001,278.79091660181683,258.07300607363385,3.84115845816476,0.3710828817811938,,,,,
2196.577,2529.378,332.801,363.0518455396999,272.2544786604968,3.804308755057199,0.041169555674029,,,,,
2562.06,2811.661,249.6010000000001,448.1090223087984,270.6865629729103,3.6924502849578857,-0.9602930562771363,,,,,
2845.484,3011.342,165.85800000000015,492.1318779389064,255.58436115582785,3.691040732643821,-0.9729126991246738,,,,,
3095.081,3260.943,165.86200000000008,516.5450483560562,251.00962966680527,3.663770155473189,-1.2170646477296327,,,,,
3460.624,3577.702,117.07800000000044,267.6259027587043,289.507116874059,3.70423173904419,-0.8548143583173173,,,,,
3610.385,3893.832,283.44699999999966,362.021602768647,307.5356991667497,3.640918519761828,-1.4216540611780577,,,,,
4009.746,4259.347,249.6009999999997,499.8160060714273,300.8523204747368,3.606398820877075,-1.7307069900997452,,,,,
4309.268,4542.781,233.51299999999992,547.7109432220459,294.1297270357609,3.6548802693684896,-1.2966552996530512,,,,,
4642.62,4858.389,215.76900000000023,270.5729079246521,346.2359317143758,3.7826134817940846,-0.1530670096015586,,,,,
4992.066,5141.827,149.76100000000042,277.1946739066731,356.17171851071447,3.7235218048095695,-0.6821114809316704,,,,,
5441.342,5557.271,115.92900000000007,418.4379802809821,336.8117094039917,3.676058292388916,-1.1070496468029114,,,,,
5790.77,5973.87,183.09999999999943,509.7141540967501,341.4647308679727,3.5718228022257485,-2.040264146734256,,,,,
6639.412,6755.354,115.942,426.9571688440111,402.91420221328735,3.706175804138184,-0.8374092525161612,,,,,
7088.683,7204.635,115.95200000000024,510.6679567584285,409.14021620044,3.764005661010742,-0.3196617859100515,,,,,
7304.475,7571.235,266.7599999999993,292.24765631887647,481.2956213951111,3.801458470961627,0.0156511219548831,,,,,
8003.356,8186.89,183.53400000000056,358.9466755206768,453.9510405980624,3.839440663655599,0.3557035638411912,,,,,
8402.718,8569.606,166.887999999999,486.96383635203046,458.1470926602681,3.776374585700758,-0.2089234965691324,,,,,
8586.246,8901.919,315.6730000000007,523.3112853670877,456.7718029022217,3.753832753499348,-0.4107392565607137,,,,,
8951.839,9151.519,199.6800000000003,368.04798983392266,498.9155797731309,3.7328802255483775,-0.5983260646953967,,,,,
9201.439,9368.333,166.89400000000023,435.20893851916,511.4174922307332,3.724593191435843,-0.6725194165291795,,,,,
9384.973,9684.494,299.52100000000064,387.66659051179886,547.528996070226,3.806151072184245,0.0576637176311527,,,,,
9700.641,9867.535,166.89400000000023,421.5251604715983,546.6031809647878,3.804649584221117,0.0442209800715183,,,,,
9984.015,10349.604,365.589,374.340292563041,551.5001070168283,3.8181243564771568,0.1648598606766209,,,,,
10383.377,10499.365,115.98799999999936,421.4238418473138,590.835189819336,3.817838668823242,0.1623021151269363,,,,,
10549.285,10865.934,316.64899999999943,369.3935059365772,795.9649222237723,3.811270650227865,0.1034990128492906,,,,,
10882.574,11048.487,165.91299999999865,359.86020531919274,764.2857611179352,3.836279897978811,0.327405405931188,,,,,
11098.407,11365.182,266.77500000000146,451.5710916784074,766.904714372423,3.875350802552466,0.6772050242425006,,,,,
11381.781,11547.689,165.90799999999945,475.1421408520805,781.7904267046187,3.875786058830492,0.6811018492989614,,,,,
11681.306,11880.996,199.6899999999987,369.135510353815,792.8302861395335,3.8471820537860575,0.4250117956925531,,,,,
11947.051,12146.731,199.6800000000003,438.1775447300502,799.690340246473,4.017711932842548,1.9517562428855464,,,,,
12579.907,12713.092,133.1850000000013,397.4071276187897,34.104845828260295,3.989388359917535,1.6981768823231356,,,,,
12729.668,12929.344,199.67599999999948,360.09191402367185,55.2049420773983,3.935937734750601,1.2196364316753203,,,,,
12945.455,13062.533,117.07799999999952,363.35342857572766,65.69941333598561,3.843572616577149,0.3926967067082457,,,,,
13145.136,13394.737,249.60099999999875,418.4232585570392,60.71507777361309,3.803708791732788,0.0357981176648573,,,,,
13444.657,13678.138,233.4810000000016,451.2263625860214,521.5567208826542,3.849444834391276,0.4452703435983379,,,,,
13694.258,13911.177,216.91899999999987,458.3323073387146,530.6591447194418,3.9587465013776506,1.4238420406151673,,,,,
13943.859,14460.299,516.4400000000005,591.8550704464768,637.5460635532032,3.972118139266968,1.543557565016774,,,,,
14542.901,14809.737,266.83599999999933,287.92993956142004,596.421253018909,4.051387113683364,2.253248249104022,,,,,
14842.423,15009.421,166.9979999999996,262.11796077814967,246.0690276189284,4.018237027254972,1.956457383722888,,,,,
