start_time,end_time,duration,x,y,avg_pupil_size,pupil_size_norm,weight_meme,weight_ort,weight_person,weight_politik,weight_text
33.239,216.444,183.205,581.0394984025222,357.0674767861,4.6351744333903,4.081039943233767,0.0,0.0,0.0,1.0,1.0
266.314,382.549,116.23499999999996,398.1096333927578,341.0147017902798,4.38913631439209,2.7088797862041343,,,,,
432.561,549.079,116.51799999999996,335.1249112023248,158.65824752383762,3.940394401550293,0.2062359841059001,,,,,
615.689,798.675,182.986,337.0425416873052,112.23444044589996,3.646783192952474,-1.431240370109662,,,,,
1014.839,1231.113,216.274,346.6572999954224,108.19891730944316,3.7361390250069753,-0.9329008727884772,,,,,
1330.846,1464.05,133.20399999999995,431.7555484175682,114.02772940695286,3.918501112196181,0.0841366139743437,,,,,
1663.914,1797.034,133.12000000000012,366.93973183631897,152.15165257453918,3.995652940538194,0.5144141064375007,,,,,
1830.162,1946.78,116.61799999999994,430.5410888459948,159.7046845489078,4.078119277954102,0.9743307362630312,,,,,
1979.907,2162.907,183.00000000000023,335.9712884976313,179.7857445019942,4.000148773193359,0.539487466887532,,,,,
2262.741,2462.413,199.67200000000005,382.6551582132067,190.8941724470684,3.883526141826924,-0.110919587192334,,,,,
2512.282,2628.905,116.62300000000003,372.0164312256707,198.45512045754327,3.936404228210449,0.1839826970995266,,,,,
2662.084,2795.411,133.32700000000025,468.9590668678284,190.60174465179443,4.042410956488715,0.7751846194388912,,,,,
2978.313,3111.391,133.07799999999995,332.4414487183094,243.03512945771217,3.954131232367621,0.2828466004126037,,,,,
3278.053,3494.268,216.2150000000001,359.0501340230306,263.9864778518677,3.9433076041085378,0.2224829806934873,,,,,
3510.829,3827.027,316.19799999999987,406.8771566663469,282.85624980926514,4.102981185913086,1.1129861595281718,,,,,
3860.108,4043.36,183.25199999999995,326.77827523304865,329.02529789851263,4.028605779012044,0.6981928322664778,,,,,
4076.604,4309.319,232.7150000000006,392.71886348724365,335.2470077574253,4.041327412923177,0.769141672455348,,,,,
4342.88,4508.991,166.11099999999988,481.6568990548452,315.6605909268061,3.850071993741122,-0.2974941280708564,,,,,
4525.843,4658.695,132.85199999999986,505.6135535240173,307.4034786224365,3.7842864990234375,-0.6643813207125255,,,,,
4708.661,4875.251,166.59000000000017,349.4307706753413,322.4319477876027,3.716585332697088,-1.0419522572637396,,,,,
4892.015,5025.189,133.17399999999998,323.26669722795486,326.03392988443375,3.726108762953016,-0.9888398712292384,,,,,
5191.512,5424.398,232.8860000000004,330.4749749600888,363.78650441765785,3.822511800130208,-0.4511979514739027,,,,,
