image_id,primary_label_from_code,labels_union,codes_present,participants,records,code_meme,code_person,code_politik,code_ort,code_text
121,multi,"meme,text",10001,49,49,1,0,0,0,1
122,multi,"meme,ort,text",10011,49,49,1,0,0,1,1
123,multi,"meme,ort,text",10011,48,48,1,0,0,1,1
124,multi,"meme,ort,text",10011,49,49,1,0,0,1,1
125,multi,"meme,text",10001,49,49,1,0,0,0,1
126,multi,"ort,text",00011,48,48,0,0,0,1,1
127,multi,"ort,text",00011,49,49,0,0,0,1,1
128,multi,"person,text",01001,48,48,0,1,0,0,1
129,multi,"person,text",01001,48,48,0,1,0,0,1
130,multi,"person,text",01001,48,48,0,1,0,0,1
131,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
132,multi,"politik,text",00101,49,49,0,0,1,0,1
133,multi,"politik,text",00101,49,49,0,0,1,0,1
134,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
135,multi,"meme,politik,ort,text",10111,47,47,1,0,1,1,1
136,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
137,multi,"politik,ort,text",00111,48,48,0,0,1,1,1
138,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
139,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
140,multi,"politik,ort,text",00111,49,49,0,0,1,1,1
141,multi,"meme,ort,text",10011,48,48,1,0,0,1,1
142,text,text,00001,47,47,0,0,0,0,1
143,text,text,00001,48,48,0,0,0,0,1
144,text,text,00001,48,48,0,0,0,0,1
146,multi,"ort,text",00011,47,47,0,0,0,1,1
147,multi,"meme,text",10001,49,49,1,0,0,0,1
148,multi,"meme,text",10001,49,49,1,0,0,0,1
149,multi,"meme,text",10001,49,49,1,0,0,0,1
150,multi,"meme,text",10001,49,49,1,0,0,0,1
151,multi,"meme,ort,text",10011,47,47,1,0,0,1,1
152,multi,"meme,ort,text",10011,48,48,1,0,0,1,1
153,multi,"meme,ort,text",10011,48,48,1,0,0,1,1
