participant,image_id,code,primary_label,label_set,file,path,code_meme,code_person,code_politik,code_ort,code_text
000,039,00100,politik,politik,P000_id039_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id039_person_00100.csv,0,0,1,0,0
000,040,00100,politik,politik,P000_id040_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id040_person_00100.csv,0,0,1,0,0
000,041,00100,politik,politik,P000_id041_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id041_person_00100.csv,0,0,1,0,0
000,042,00100,politik,politik,P000_id042_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id042_person_00100.csv,0,0,1,0,0
000,043,00100,politik,politik,P000_id043_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id043_person_00100.csv,0,0,1,0,0
000,044,00100,politik,politik,P000_id044_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id044_person_00100.csv,0,0,1,0,0
000,045,00100,politik,politik,P000_id045_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id045_person_00100.csv,0,0,1,0,0
000,046,00100,politik,politik,P000_id046_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id046_person_00100.csv,0,0,1,0,0
000,047,00100,politik,politik,P000_id047_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id047_person_00100.csv,0,0,1,0,0
000,048,00100,politik,politik,P000_id048_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id048_person_00100.csv,0,0,1,0,0
000,049,00100,politik,politik,P000_id049_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id049_person_00100.csv,0,0,1,0,0
000,050,00100,politik,politik,P000_id050_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id050_person_00100.csv,0,0,1,0,0
000,051,00100,politik,politik,P000_id051_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id051_person_00100.csv,0,0,1,0,0
000,052,00100,politik,politik,P000_id052_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id052_person_00100.csv,0,0,1,0,0
000,053,00100,politik,politik,P000_id053_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id053_person_00100.csv,0,0,1,0,0
000,054,00100,politik,politik,P000_id054_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id054_person_00100.csv,0,0,1,0,0
000,055,00100,politik,politik,P000_id055_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id055_person_00100.csv,0,0,1,0,0
000,056,00100,politik,politik,P000_id056_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id056_person_00100.csv,0,0,1,0,0
000,057,00100,politik,politik,P000_id057_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id057_person_00100.csv,0,0,1,0,0
000,058,00100,politik,politik,P000_id058_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id058_person_00100.csv,0,0,1,0,0
000,059,00100,politik,politik,P000_id059_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id059_person_00100.csv,0,0,1,0,0
000,060,00100,politik,politik,P000_id060_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id060_person_00100.csv,0,0,1,0,0
000,061,00100,politik,politik,P000_id061_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id061_person_00100.csv,0,0,1,0,0
000,062,00100,politik,politik,P000_id062_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id062_person_00100.csv,0,0,1,0,0
000,063,00100,politik,politik,P000_id063_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id063_person_00100.csv,0,0,1,0,0
000,064,00100,politik,politik,P000_id064_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id064_person_00100.csv,0,0,1,0,0
000,065,00100,politik,politik,P000_id065_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id065_person_00100.csv,0,0,1,0,0
000,066,00100,politik,politik,P000_id066_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id066_person_00100.csv,0,0,1,0,0
000,067,00100,politik,politik,P000_id067_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id067_person_00100.csv,0,0,1,0,0
000,068,00100,politik,politik,P000_id068_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id068_person_00100.csv,0,0,1,0,0
000,069,00100,politik,politik,P000_id069_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id069_person_00100.csv,0,0,1,0,0
000,070,00100,politik,politik,P000_id070_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id070_person_00100.csv,0,0,1,0,0
000,071,00100,politik,politik,P000_id071_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id071_person_00100.csv,0,0,1,0,0
000,072,00100,politik,politik,P000_id072_person_00100.csv,c:\Users\SWixforth\Uni\eye-tracking-ai\fixations\P000_id072_person_00100.csv,0,0,1,0,0
