image_id,n,centroid_x,centroid_y,std_x,std_y
001,1159,409.0229666576882,486.92499474379525,131.6156928585521,169.5871360290464
002,1284,374.2248514883762,272.512324446576,102.74237968880256,113.91248055151785
003,1110,417.8913150904142,365.72260533595187,38.7453648059876,183.83570771182602
004,1354,390.87970526750104,403.89488307746666,91.17017725287279,168.13195313593891
005,1359,406.1130510921345,351.8325083915383,111.16168377720247,146.04109255241698
006,1209,394.85678476833033,450.4665410953253,90.88836158512616,190.49096279822277
007,1224,449.9899649957744,424.14819633184203,57.72926736076492,238.17526168392453
008,1108,352.1352318663382,303.01889980908487,116.94573645766367,141.97785250958225
009,1417,361.0120082480612,317.5367073329955,112.86497412525212,155.39875579495447
010,1469,395.7119701617924,409.30236579527906,72.96576738867228,145.6489724095109
011,1335,422.04019419346423,428.1997838945088,81.57881011227128,102.66288523334424
012,2157,399.61037716761143,375.2527990970395,77.69782595688649,150.40363113181814
013,1334,399.19947994971403,419.37381920897394,60.33020399819205,168.5242852020705
014,1279,388.3445026414219,429.72869731591373,90.64663893024732,140.94033712862716
015,1402,392.51792444219245,342.83230492232155,60.54765047906502,101.88406273501116
016,1341,401.1375874486629,364.8757279438097,70.87574942882601,95.88706755979
017,1408,354.1329758540345,349.0221882396709,96.54771492941114,93.11117224098294
018,1194,409.03360532241635,413.962379742511,83.8093061205249,153.08421968222987
019,1207,412.52365095949654,352.613525716321,92.01935013638943,160.88651004780988
020,1330,401.39565744045325,295.22493970008475,86.91925918610247,128.41085683966912
021,1383,418.6185842608102,446.14288329985,86.34063922533393,170.85334167691192
022,1233,415.5355315588426,447.04012084483395,91.31728021422191,133.7023010183504
023,944,434.79568040345316,347.433281935294,84.48647026687813,90.30705221101967
024,1293,402.7093622996268,396.8688888223795,83.29419507501592,146.85260498028686
025,1408,391.96527580485105,479.1413937541993,118.90966315270855,139.8600558540155
026,1345,413.1867643351331,430.7221370780131,102.0881760883189,133.79346496695504
027,1000,394.60952982284414,391.84411177335073,83.25480923693655,134.51544595939447
028,1228,408.41364611828527,437.6058088426158,92.98997156553122,139.69015085538268
029,1196,416.44063237681644,481.5769381420763,92.66254109991323,136.9953564280608
030,1080,399.1637226100427,395.6599413287602,87.03217791420492,145.8614864424186
031,1278,402.444526640717,437.54506314281105,86.50130725245175,93.15250413904549
032,1202,403.67927946663934,349.7151916642594,80.34787582388101,155.40213399576658
033,1837,398.5878550733296,574.6097256901745,78.5438241777635,196.1679878987949
034,1453,393.56876332452794,276.1483803751616,96.8880237058525,136.3754685819645
035,1269,425.7814470656778,328.5623320628301,77.40277852864251,134.0775198163683
036,1193,399.7035112470546,387.41632668675487,87.22469940121452,161.97606514276353
037,1328,433.41176088404677,381.30083438490266,103.51249335591771,94.4028277993077
038,1213,414.0615803461502,453.25776352647745,87.08342839682864,121.45171614825354
039,1336,383.26792119045206,354.1942579136335,101.90452215563711,187.09343608464567
040,1216,384.8045036832184,414.8986068600968,81.34124398472927,179.4758350150097
041,1295,395.41823497290875,363.31766697934904,88.06699733238429,157.47902295712817
042,989,395.21297388471436,390.4724611375335,57.539764008843,203.31244412087764
043,1219,442.87547466268796,409.067994995148,119.23798320914554,204.41412540697397
044,1221,419.34394998802753,364.047716383937,76.99909685282398,139.62584726183206
045,1324,407.2090449887038,415.1932360648936,79.38125721257475,218.83524605826682
046,1144,396.8872201749307,380.15335486795016,59.267740741708366,153.02771555676645
047,1298,425.6667470743825,365.80508542493897,81.80440078164588,171.80209778182376
048,1363,410.78830034948385,302.62644134056416,97.84180462621664,194.65973430077793
049,1471,427.29485969079985,322.3901818320459,111.43814325445595,137.42691515584164
050,1621,399.3120950954623,405.2929934009089,104.75180075889399,167.84735912336527
