image_id,cluster,labels_txt,strong_tags,weak_tags,meme,person,politik,ort,text,meme_weight,person_weight,politik_weight,ort_weight,text_weight
001,4,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
002,4,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
003,0,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
004,4,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
005,4,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
006,3,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
007,1,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
008,1,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
009,4,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
010,3,meme,meme,,1,0,0,0,0,1.0,0.0,0.0,0.0,0.0
011,3,ort text,"ort,text",,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
012,3,ort text,"ort,text",,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
013,3,ort text,"ort,text",,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
014,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
015,1,ort (text),ort,text,0,0,0,1,1,0.0,0.0,0.0,1.0,0.5
016,3,ort text,"ort,text",,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
017,4,ort text,"ort,text",,0,0,0,1,1,0.0,0.0,0.0,1.0,1.0
018,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
019,4,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
020,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
021,1,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
022,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
023,0,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
024,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
025,4,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
026,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
027,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
028,2,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
029,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
030,4,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
031,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
032,3,ort,ort,,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0
033,0,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
034,2,person (text),person,text,0,1,0,0,1,0.0,1.0,0.0,0.0,0.5
035,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
036,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
037,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
038,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
039,1,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
040,3,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
041,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
042,1,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
043,4,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
044,2,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
045,0,person,person,,0,1,0,0,0,0.0,1.0,0.0,0.0,0.0
