file,n_fix,view_time_total,sum_fix_dur,fix_dur_mean,fix_dur_median,scanpath_length,bcea_68,bcea_95,participant,image_id,primary_label
P000_id001_meme_10000.csv,14,5640.854,4393.577000000001,313.82692857142865,282.84050000000025,2586.832016350458,46378.11944331735,122047.68274557198,000,001,meme
P000_id002_meme_10000.csv,19,6955.267,6373.755000000002,335.4607894736843,249.59700000000063,1841.871868378452,29754.63814954072,78301.67934089665,000,002,meme
P000_id003_meme_10000.csv,14,5940.504,5241.231000000002,374.37364285714295,307.78350000000023,2159.6008582294803,46590.830865364194,122607.44964569523,000,003,meme
P000_id004_meme_10000.csv,19,6223.444,5025.3020000000015,264.4895789473685,232.96699999999964,2623.9103738993895,77827.90037189833,204810.2641365746,000,004,meme
P000_id005_meme_10000.csv,18,5458.003,4842.601,269.03338888888885,224.67350000000005,2371.0967597067224,60326.909648630346,158755.02539113254,000,005,meme
P000_id006_meme_10000.csv,19,5557.883,4659.406999999999,245.231947368421,232.981,2853.6724677568263,110340.82696446042,290370.5972748959,000,006,meme
P000_id007_meme_10000.csv,11,5258.196,4675.722999999999,425.0657272727272,266.20899999999983,2538.0619968627393,69607.34881026532,183177.23371122451,000,007,meme
P000_id008_meme_10000.csv,14,7471.107,6789.418000000001,484.9584285714286,349.43899999999996,2174.246309452633,93753.66508130456,246720.17126659097,000,008,meme
P000_id009_meme_10000.csv,14,5341.448,4709.077,336.3626428571429,291.116,1576.7819754050547,46058.21185794333,121205.82067879825,000,009,meme
P000_id010_meme_10000.csv,16,7554.738,7106.466,444.154125,391.1705000000002,1020.1884300574301,16672.838800707126,43875.89158080823,000,010,meme
P000_id011_ort_01001.csv,28,8586.447,7221.36,257.9057142857143,232.92349999999993,3486.7609826011712,96249.53462124759,253288.24900328313,000,011,ort
P000_id012_ort_01001.csv,29,8636.169,7753.379999999997,267.35793103448265,232.76299999999992,2873.463781367244,74898.6729767704,197101.77099150105,000,012,ort
P000_id013_ort_01001.csv,16,4875.541,4060.107,253.7566875,232.90549999999996,1930.9789415792131,37298.876002555946,98154.93684883144,000,013,ort
P000_id014_ort_01000.csv,38,13910.971,12114.564999999997,318.80434210526306,291.23299999999927,3649.80557833235,55433.53319590211,145877.71893658454,000,014,ort
P000_id015_ort_01001.csv,22,7171.96,6273.525,285.16022727272724,232.93100000000004,1613.9208752898553,22936.839000872737,60360.10263387562,000,015,ort
P000_id016_ort_01001.csv,47,15025.948,12063.989999999994,256.68063829787224,216.4400000000005,3640.6578008660667,32190.544388844926,84711.95891801298,000,016,ort
P000_id017_ort_01001.csv,21,5591.017,4709.954,224.28352380952379,199.75999999999976,2157.465100924631,68611.3009769294,180556.05520244586,000,017,ort
P000_id018_ort_01000.csv,21,7717.351,6406.027999999999,305.04895238095236,282.84400000000005,2358.407619284754,51005.52769997543,134225.07289467216,000,018,ort
P000_id019_ort_01000.csv,8,5174.849,4958.849,619.856125,574.1595,639.382201071058,17873.90657721551,47036.59625583029,000,019,ort
P000_id020_ort_01000.csv,23,8752.526,7854.9919999999975,341.52139130434773,316.259,2144.7754292422214,41328.34853277713,108758.81192836088,000,020,ort
P000_id021_ort_01000.csv,32,9884.299,8303.536,259.4855,249.56049999999954,3228.342861246208,89705.01270244732,236065.82290117716,000,021,ort
P000_id022_ort_01000.csv,16,7388.185,6557.3290000000015,409.8330625000001,274.73900000000003,2067.1532321979025,46002.8497999368,121060.13105246527,000,022,ort
P000_id023_ort_01000.csv,12,5029.684,4180.748,348.3956666666666,274.46399999999994,1706.1608592203074,35985.86831944822,94699.65347223218,000,023,ort
P000_id024_ort_01000.csv,20,9218.502,8585.909000000001,429.2954500000001,374.55899999999974,1813.0784305115378,71033.37428382144,186929.9323258459,000,024,ort
P000_id025_ort_01000.csv,23,10000.829,8603.332000000002,374.0579130434784,316.02,2474.956623675698,82996.72887669754,218412.44441236198,000,025,ort
P000_id026_ort_01000.csv,30,11581.44,10200.344999999998,340.0114999999999,307.8805000000002,2865.8686397397814,63167.55833506405,166230.41667122123,000,026,ort
P000_id027_ort_01000.csv,20,8802.672,7705.0660000000025,385.25330000000014,316.17950000000013,2910.3683047302457,118031.83379328833,310610.0889297062,000,027,ort
P000_id028_ort_01000.csv,23,10882.606,9967.524000000003,433.3706086956523,366.286,1968.5709130786543,42970.53599699616,113080.35788683199,000,028,ort
P000_id029_ort_01000.csv,20,8137.053,7172.634000000003,358.63170000000014,324.59100000000035,2833.110310794002,114462.11062049045,301216.0805802381,000,029,ort
P000_id030_ort_01000.csv,29,11631.355,10166.14,350.55655172413793,282.85199999999986,2587.165680066536,44974.133794417656,118352.98366952017,000,030,ort
P000_id031_ort_01000.csv,22,7937.303000000001,7289.246000000001,331.32936363636367,283.0719999999999,2046.7720413275256,71490.38392876662,188132.58928622794,000,031,ort
P000_id032_ort_01000.csv,25,9867.729,8685.997000000005,347.4398800000002,299.5069999999996,2875.2743528287015,67377.52614216272,177309.2793214809,000,032,ort
P000_id033_person_00101.csv,52,14976.057,12997.621000000001,249.95425000000003,216.26150000000004,4620.678391753085,67989.54805951058,178919.86331450153,000,033,person
P000_id034_person_00101.csv,31,15026.121,13529.001000000002,436.41938709677424,366.127,2612.8905030752594,45141.40063202925,118793.15955797173,000,034,person
P000_id035_person_00100.csv,19,7471.316,6723.101999999999,353.84747368421046,316.1880000000001,1481.326160640181,28126.406357402997,74016.85883527105,000,035,person
P000_id036_person_00100.csv,18,6789.036,6158.494999999997,342.13861111111095,274.7929999999999,1766.463321977189,79772.95755150169,209928.8356618466,000,036,person
